name,season,number,airdate,rating,summary,image_url
Squash It,5,27,1995-04-12,8.0,"Steve and David organize a hip-hop night at the club to boost the sagging gate receipts. David asks Willie's nephew Juwan, a talented DJ, to join him onstage. Steve backs out of the event because he is nervous about Juwan's criminal record (as if he should be one to pass judgment). Valerie tries to dodge a grimy Australian metal band that claims to have been booked. Although his tour is ending, Ray is unsure about returning to Los Angeles. Valerie goes to Reno to re-hire him, and claims to have changed her ways. While Val is gone, the Aussies crash the hip-hop night and trash the After Dark. Juwan and his friends are prepared to fight them, but decide to keep their cool. David and Clare get back together. Dylan allows Molly to hypnotize him and regresses to a past life as a hobo.

Music: """"It's Your Thing"""" by the Isley Brothers (#2, 1969); """"Here and Now"""" by Letters to Cleo; """"1-2-Threz,"""" per",https://image.tmdb.org/t/p/original//3bepgwDxqBFtGGS8MGZR6ZdqLEG.jpg
Girls on the Side,5,28,1995-05-03,9.0,"Kelly becomes depressed after making the cover of Seventeen, as she fears that she will never regain her past looks. Steve and Jackie try to convince her to continue her modeling career. Kelly has a chance meeting with Allison's girlfriend Dana, who gives her the brush-off. Kelly tries to visit Allison at the burn center, but she refuses to see her. Kelly talks to Dana's new girlfriend, who reveals that Allison dumped Dana because she is in love with Kelly. Allison calls Kelly and asks to see her after she is released from the hospital. Ray returns to town, and LuAnn gets drunk before his first performance. David and Clare take her home, and she babbles about Ray's affair with Valerie. David and Clare confront them, but decide not to tell Donna. Charley grows tired of seeing Dylan moon over Kelly; he encourages him to make a move. Jesse is offered a clerkship in Boise. Andrea offers her support, although she is less than thrilled by the move. Jesse turns down the offer because he doesn",https://image.tmdb.org/t/p/original//5i1XLaxVITteSGYeH4PoJCpB8bm.jpg
The Real McKay,5,29,1995-05-10,10.0,"While under hyponsis, Dylan recalls a past life as a gunslinger in the Wild West. He recognizes Kelly as the woman who convinced him to change his ways and become a family man. He later helped rescue a past love from hanging and was gunned down by the son of one of his victims. Dylan concludes that Kelly is his soulmate. He shows up on her doorstep when she returns from a trip to New York, and they share a passionate kiss. Brandon seeks re-election and is virtually unopposed. When the board of education mandates a tuition hike, Brandon is criticized for failing to look out for the students' interests. Alex Diaz runs for president as a write-in candidate and wins easily. Valerie concludes that Brandon is her perfect guy. Jim fears that his job is in jeopardy when his bosses hold meetings behind his back. Jesse is offered a teaching job at the Yale School of Law, but will only accept if Andrea's scholarship is reinstated.

Music: """"I Know"""" by Dionne Farris",https://image.tmdb.org/t/p/original//kYJw4PQB4wOuzdYBQ9gFKLVcDzl.jpg
"Hello Life, Goodbye Beverly Hills",5,30,1995-05-17,10.0,"Dylan asks Kelly to join him on a trip around the world. Valerie sees the tickets in Kelly's room and tells Brandon. Brandon counters with a marriage proposal, and Kelly asks for time to think things over. She eventually rejects both men and proclaims, """"I choose me."""" Andrea and Jesse prepare for their move to Connecticut. The gang surprises her by organizing a picnic lunch at West Beverly High (although Brandon and Dylan, still waiting for Kelly's decision, opt not to attend). Everyone meets Andrea and Jesse at the Peach Pit one last time to say goodbye. Ray lashes out at Donna for devoting time to her friends and studying for finals. He drags her away from Andrea's picnic and verbally berates her. Jim considers a possible move to Hong Kong as his company offers a promotion and substantial raise. He and Cindy decide to go through with the move.

Music: """"I'll Stand by You"""" by the Pretenders (#16, 1994); """"Remember"""" by Harry Nilsson",https://image.tmdb.org/t/p/original//aN3GWkD4i00QBuEz6aCsdadS3Fp.jpg
P.S. I Love You,5,31,1995-05-24,10.0,"Jim and Cindy leave for Hong Kong. Kelly wants to continue her relationship with Brandon, but he cannot get over the rejected marriage proposal. Steve and Donna head to Palm Springs for an Alpha/KEG convention. A contrite Ray agrees to accompany Donna, who is making a speech at the event. He quickly becomes angry and possessive. Rush tries to set up Steve with a business associate's daughter. Steve is more interested in the Cadillac-driving """"goddess"""" he keeps encountering. Brandon and Valerie decide to head to Palm Springs to avoid the caravan of potential buyers who have overrun the house. Brandon goes on a drinking binge and finds himself tempted by Valerie. He has a hallucination in which his parents appear and express their disappointment. Kelly postpones her trip to the convention to spend the day with Allison, but is very secretive. David and Clare see them together and get the wrong idea. Allison admits her love for Kelly, who is not interested.",https://image.tmdb.org/t/p/original//pMDiCskgcmkeaCmGpibmWVOiRLH.jpg
Home Is Where the Tart Is,6,1,1995-09-13,10.0,"Kelly returns from a modeling stint in New York. She brings home an artist boyfriend named Colin, who rents a loft in Los Angeles. Brandon comes home from a summer job at the Boston Herald to discover that Val's obnoxious friend Ginger is staying at the house. Val and Brandon agree that they should not get involved, so Ginger comes on to him. Steve, Brandon and David consider renting a penthouse apartment together. David reveals that he and Clare have broken up. The real estate agent tells Brandon that the buyers plan to tear his house down, so the gang throws a party and trashes the place. She then informs Brandon that the house has fallen out of escrow, meaning that his parents still own it. Donna enjoys her summer with Ray, who has made an effort to make up for his past mistakes. A woman's valuable ring disappears during a party on the Martins' boat, and Felice believes that Ray stole it. Dylan tells Kelly about his obsession with tracking down his father's killer. She helps him sor",https://image.tmdb.org/t/p/original//eOhYOkIAMsz1iOk6ObHTu4cgfJu.jpg
Buffalo Girls,6,2,1995-09-13,0.0,"The house is fixed up, and Steve decides to move in with Brandon. Donna finds Mrs. Korman's ring in Ray's jacket pocket. Everyone believes that he stole it (although he points out that he would have to be an idiot to leave the ring in his pocket for days, then let Donna discover it). The house's petty cash and Steve's gold watch turn up missing, and Steve blames Ray. Steve and Ray nearly get into a fight, and Donna decides to give up on Ray. Valerie exposes Ginger as the actual thief and orders her to leave town. Val pays off Ginger at the airport; they actually staged the entire incident so that Valerie could prove herself to the rest of the gang. Brandon tries to bring Kelly flowers for her birthday, only to find Colin in her bedroom. Colin angers Kelly by refusing to show for her birthday party; he later reveals that he spent the time creating a special painting for her. Donna gets drunk at the party and tries to throw herself at Ray. Brandon gives Dylan information about businessma",https://image.tmdb.org/t/p/original//1sjjuztzYYlVPbsMf59xNjtBCte.jpg
Must Be a Guy Thing,6,3,1995-09-20,0.0,"Dylan heads for the C.U. campus in the hopes of striking up a friendship with Marchette's son. Marchette actually has a beautiful daughter, Toni; she agrees to go out with Dylan. Brandon notices that Toni really likes Dylan, and disapproves of his friend's actions. Brandon expresses an interest in a columnist job with the school paper. Editor Susan Keats turns him down and seems to loathe him. Brandon writes a sexist column about women as a counterpoint to Susan's similar column about men. They go to the After Dark to """"research"""" behavior of the opposite sex, and Susan decides to hire him. Steve's advisor finally realizes that he cheated on his math placement test as a freshman. He ruins Steve's cushy schedule by forcing him to enroll in remedial math. Steve cannot find a suitable tutor, so he reluctantly accepts an offer from Clare. Kelly feels uncomfortable when she learns that Colin and Valerie once toured Europe together as part of a teen group.",https://image.tmdb.org/t/p/original//vPlWKKj0Wf0fxvK5iKqzuEv3i7o.jpg
Everything's Coming Up Roses,6,4,1995-09-27,10.0,"Donna, Kelly, Clare and Valerie try out for the Tournament of Roses Court. The other girls only wish to secure invitations to a ball, but Donna elects to proceed with the tryouts. Felice does not approve of this decision, leaving Donna confused. Colin opts out of the party to work on his mural, but later shows up with Valerie. Kelly throws a hissy fit before Colin explains that nothing is going on. Brandon and Susan cover the Rose Court tryouts for the newspaper, and attend the party together. When they return to the newsroom, Susan grabs Brandon and kisses him. Steve pretends to be sensitive as he woos a woman in a chat room. Clare asks Steve to escort her to the ball. He cuts the date short to meet with his on-line sweetheart, only to find out that it is Clare! Donna and Ray miss the ball because he has to perform at Jessica's birthday party. Toni surprises Dylan when they go motorcycle riding. Dylan admits to Brandon that he is falling for her.",https://image.tmdb.org/t/p/original//gULOU6ZkuuERA80O79HIBrvp55Z.jpg
Lover's Leap,6,5,1995-10-04,6.0,"Valerie is haunted by nightmares about her father's suicide. David learns that his mother requires shock therapy to improve her chances of recovery. He does not support this course of action, and falls into a deep funk. Valerie tells him about her father and offers to help him. She takes David to a cliff overlooking the city and tests his will to live. David convinces his mother to undergo treatment, and Valerie overcomes her nightmares. Toni throws a dinner party while her father is out of town. Bruno catches Dylan snooping around in Marchette's study. He tells Dylan that Marchette is aware that he is Jack's son. Steve and Clare decide to attend the party together, and share a good-night kiss. Brandon convinces Susan to go out with him.

Music: """"The Lion Sleeps Tonight"""" by Robert John (#3, 1972)",https://image.tmdb.org/t/p/original//iEKkDpXh3MmUBjEtMbJNkz4uOZ8.jpg
Speechless,6,6,1995-10-18,10.0,"Valerie gets herself invited on a road trip with Kelly, Donna and Clare. David thanks Val for helping him through his hard times, and gives her a kiss. During the trip, Donna goads Val into admitting that she slept with Ray. The roommates resolve to stop talking to Valerie. The car breaks down, and the girls spend the night at a convent while awaiting repairs. They cannot speak after sundown. Donna forgives Valerie, who urges her not to forget about Ray's abusive behavior. Donna dumps Ray. Steve convinces Brandon to let a director film a movie at the Walsh house, without revealing that it is a porno. Susan is offended by the fiasco, but sleeps with Brandon anyway. Marchette doesn't show for a dinner engagement with Toni and Dylan. He arrives after Toni leaves the table and warns Dylan to stay away. Dylan and Marchette's bodyguard pull guns on each other. Marchette tells Toni that Dylan is using her. She refuses to believe Dylan's claim that her father killed Jack. Kelly meets Colin's a",https://image.tmdb.org/t/p/original//rpq1d4KdTcqxQ4q7VHryoDOw9hH.jpg
Violated,6,7,1995-10-25,10.0,"Valerie accepts her marketing professor's invitation to a seminar. They have a drink afterwards, and the man tries to come on to her. He gives her a D on a midterm essay that he had seemed to like earlier, and Val suspects that he is punishing her. David and Susan encourage Valerie to file a complaint. Val backs down because she fears that the investigation will expose embarrassing information about her personal life. Meanwhile, Susan works on an expos̩ for the Condor. Several of Professor Haywood's past victims come forward, and he is forced to resign. Bruno delivers a letter from Dylan to Toni, and the couple eventually reunites. Marchette sees Toni and Dylan on campus together and becomes furious. Toni ignores her father's ultimatum and decides to move in with Dylan. Kelly cuts Colin loose after learning that he acts as Claudia's concubine in exchange for financial backing.",https://image.tmdb.org/t/p/original//pAAgKGMY0aseNoXc4ItbpW4pORs.jpg
"Gypsies, Cramps and Fleas (a.k.a. Halloween VI)",6,8,1995-11-01,10.0,"Colin appeases Kelly by ending his affiliation with Claudia and taking a teaching job. A fortune teller sets up shop at the Peach Pit for Halloween. In spite of her questionable credibility, her presence has an impact on many couples. She forces Susan to come clean with Brandon about a past relationship. David buys a love potion to use on Valerie, and the two become closer. Steve and Clare accidentally drink the potion and have a rendezvous in the club's dressing room. Donna spends time at the Halloween party with Joe Bradley, the university's star quarterback. A jealous Ray accosts her, prompting Joe to back off. Ray lurks at Donna's apartment and becomes physical when she refuses to talk to him. Joe returns and comes to Donna's defense; he had reconsidered his decision and wants to date her. Dylan and Toni take in a stray kitten. Toni finds Dylan's gun in the first aid kit and insists that he get rid of it. Toni's father meets her at the Peach Pit in the hopes of ending their rift. H",https://image.tmdb.org/t/p/original//gdJ9eX4rdkBlTzQSEXhYOjBHuZ.jpg
Earthquake Weather,6,9,1995-11-06,10.0,"Dylan asks Toni to marry him. Kelly is shaken by the news, and angers Dylan with her selfish reaction. She also bristles at David's new relationship with Valerie. Clare comes on strong to Steve. An earthquake rocks the major Los Angeles area, spooking Colin. Brandon and Susan, in Palm Springs for a newspaper conference, get trapped in an elevator with a pregnant woman. They must deliver her child. Donna advances to the finals of the Rose Court selections. She sees her mother in a photograph of the 1969 contestants, but Felice refuses to explain herself. Ray begins seeing a therapist and convinces Donna to come to one of his sessions. The doctor warns Donna to stay away from Ray. Marchette pretends to give Dylan and Toni his blessing, then takes out a hit on Dylan.

Music: """"Shakin' All Over"""" by The Who",https://image.tmdb.org/t/p/original//zPYOkdsIwRgbWPHKIdqPpkQifql.jpg
One Wedding and a Funeral,6,10,1995-11-08,10.0,"The hit on Dylan fails when Brandon, David and Steve """"kidnap"""" him for a rather sedate bachelor party. The girls throw a much livelier affair for Toni. Marchette shows up at the beach apartment and tries to talk Toni out of the marriage. He refuses to attend the wedding, so Bruno gives her away. (Only Bruno and Brandon are allowed at the ceremony, but everyone comes to the reception.) The next day, Marchette asks Dylan to come over to accept a gift for Toni. Bruno finds out that Dylan is to be ambushed and killed, but can't reach him because the phone is off the hook. He turns to Brandon for help. Toni is upset when their cat, Trouble, turns up missing during a driving rainstorm. Dylan agrees to stay home and look for her while Toni meets her father. Because of the rain, the hit men cannot tell that Toni is driving Dylan's car.",https://image.tmdb.org/t/p/original//uRUb7xoSYHCpwhhT2NIHkIMBeV6.jpg
Offensive Interference,6,11,1995-11-15,10.0,"Ray files battery charges against Joe, who is suspended from the homecoming game when the coach discovers that he missed curfew on Halloween. The football team shuns Donna until she explains that Joe was protecting her. She agrees to testify on Joe's behalf, even though it will publicly expose her abusive relationship with Ray. Donna makes the Rose Court. Felice reveals that she tried out for the court, and had to drop out when she became pregnant. She got married, then suffered a miscarriage. Jonesy recruits Valerie to pose as a prostitute to trap a client's philandering husband. David disapproves of Val's secretive behavior, but bails her out when she is arrested. Val goes to bed with David. Brandon becomes depressed about Dylan's departure as he ties up his affairs. Kelly manages to cheer him up, sparking jealousy in Susan. Steve is assigned to protect the school mascot during homecoming week. Colin helps him pull a prank on rival S.C.U.",https://image.tmdb.org/t/p/original//h4Zt438nejJKtSpBsBiAxZPYp8J.jpg
Breast Side Up,6,12,1995-11-22,10.0,"Colin and Susan leave for New York to spend Thanksgiving with their families. The gang decides to spend the holiday together, and David invites his mother to join them. She annoys Valerie with her constant advice about food preparation, but saves the day when Val accidentally sleeps in. Clare takes Steve to a faculty mixer, where he proves to be a big hit because of his """"people skills."""" Donna gives a deposition that does not reflect favorably on Joe. As a birthday surprise, she arranges a visit from Steve Young. She also plans to sleep with Joe, but he reveals that he is a virgin and does not believe in pre-marital sex. Kelly hangs out at Brandon's house to watch videos, and spends the night in Steve's vacant room. Valerie jumps to conclusions when she comes home the next morning and sees Brandon and Kelly in an embrace.

Music: """"Someone to Love"""" by Jon B. featuring Babyface (#10, 1995)",https://image.tmdb.org/t/p/original//9q3LQvgW3DoIATnqkODV8yvSYoq.jpg
Courting,6,13,1995-11-29,10.0,"Joe rejects a plea bargain and decides to go to trial. Donna testifies that Ray was physically harming her, and Valerie corroborates this with her eyewitness account of the Palm Springs incident. The Associated Press picks up Brandon's story about the trial for nationwide syndication. Brandon tries to convince Ray to stop hurting Donna and reveal the truth about his fight with Joe. The prosecutor portrays Donna as a liar because she covered for Ray on her medical report. Ray feels guilty; he owns up to the abuse and clears Joe during his testimony. Donna agrees not to prosecute Ray if he remains in therapy. Ray thanks Brandon for setting him straight and decides to go out on tour. Donna's friend Lisa is selected as Rose Queen. Colin babysits for Erin while Kelly and David are at the trial, as Mel and Jackie have gone away for the weekend. Valerie tells Colin that Kelly spent the night with Brandon. Colin refuses to believe Kelly's denial, but their argument is interrupted when Erin fal",https://image.tmdb.org/t/p/original//eB97wg0VvqAteXtYLCvxBdSjI7p.jpg
Fortunate Son,6,14,1995-12-13,10.0,"Donna fills in for Lisa at a convenience store. A young boy is caught stealing a teddy bear for his brother's birthday, but Donna covers for him. Donna and Joe get lost and run out of gas. Isaiah, the boy Donna helped, gets them out of a possibly dangerous confrontation by inviting them to his apartment to call a tow truck. Donna discovers that the eleven year old and his younger siblings are left alone while their mom is at work. She expresses concern, but their mother comes home and tells her to butt out. Donna finds places for the kids in a day care center that works with her sorority. Brandon alienates Nat and Susan as he gets carried away during the After Dark's charity casino night. Valerie infuriates Kelly and David by outbidding Kelly for a portrait sitting with Colin. She explains that the portrait is a Christmas gift for David. Steve's father gets him a job at a talent agency. After Steve's boss is fired, she asks him to use his connections with the agency president to arrang",https://image.tmdb.org/t/p/original//4rhCPgF3P8GJDqHdZr1Qw0JV4c5.jpg
Angels We Have Heard on High,6,15,1995-12-20,10.0,"Cindy surprises Brandon by coming to visit for Christmas. Her relationship with Jim is on the rocks, and she is unsure about returning to Hong Kong. Brandon feels devastated, as he fears that his family is falling apart. A special Christmas present from Jim squashes Cindy's doubts about his love, so she returns home. Colin begins using cocaine. Kelly is livid, as he had promised to give up the habit for good. Steve delivers Christmas presents to his boss's mistress and young niece. He gets fired when they receive the wrong gifts (the little girl gets a neglig̩e), making the man's wife aware of his affair. Although someone else had switched the address labels, Rush blames Steve and lights into him. Steve angrily replies that Rush shouldn't worry about him, as they are not really father and son. When Steve meets Rush to apologize, his father makes a shocking revelation: he is Steve's biological father.",https://image.tmdb.org/t/p/original//8azN2J28qVVoHh2ts13O3CYyqlu.jpg
Turn Back the Clock,6,16,1996-01-03,0.0,"Clare returns after a few days out of town, and the gang fills her in on the events that transpired over New Year's. Susan's ex-boyfriend Jonathan came to town and irritated Brandon with his constant presence. On New Year's Eve, he revealed that he was still in love with Susan and hinted that he shared a mysterious connection with her. Jonathan planted an extra-long good night kiss on Susan, prompting Brandon to challenge him to a fight. Colin convinced Valerie to hold onto his coke supply so that Kelly would not realize that he was still using. Val drove the wasted Colin home on New Year's Eve, leading to a dispute with David. Kelly blamed Valerie for Colin's addiction, so Val turned over the coke to her and washed her hands of the whole thing. The bird that Joe gave to Donna for Christmas escaped from the apartment. David, Donna and Joe spent hours trying to coax the bird out of the tree. Joe snapped at Donna for not showing compassion for the bird, but then showed up at the Rose Par",https://image.tmdb.org/t/p/original//h8veCjMq9sZp0w08Rqw4moT6z0X.jpg
"Fade In, Fade Out",6,17,1996-01-10,10.0,"Kelly is very excited by a visit from her father, who claims to be planning a permanent move to Los Angeles. Jackie and David warn Kelly not to get her hopes up. Bill urges Kelly to give Colin another chance; they stop by Colin's loft, only to find that he is high. Kelly breaks up with him. Bill fails to show for a meeting with Kelly and a realtor, and leaves town without saying goodbye. He leaves Kelly some flowers and a check. Kelly rolls the check and uses it to snort the cocaine stash that Val had confiscated from Colin. Joe has the team doctor check out his injured ankle. The doctor notices something strange in Joe's breathing and recommends that he see a cardiologist. Dr. Martin diagnoses Joe with a congenital heart defect, but the athletic department arranges for a second opinion. The team-sanctioned doctor insists that he is fine, and Joe chooses to believe him. Steve organizes a Roger Corman film festival at the After Dark. The gang finds out that Nat appeared in one of Corman",https://image.tmdb.org/t/p/original//vyFwKWAZCee8FD54uycp9VbP91w.jpg
Snowbound,6,18,1996-01-17,10.0,"Kelly reunites with Colin and spends all her time getting high. The couple becomes consumed by its habit, especially when supplies run low. Valerie realizes that Kelly is using drugs, but has difficulty convincing everyone else. During a jog, Susan breaks down in tears after she and Brandon pass the scene of a hit-and-run. She reveals that her older sister was struck by a car and killed while jogging with Susan. Donna's concern for Joe's health grows when he intensifies his training sessions. Brandon has a talk with Joe, and is angry when Susan wants to run a story about his condition. Susan fears that Joe's life could be in danger, while Brandon doesn't want rumors to affect Joe's chances at a pro career. Joe nearly collapses with an irregular heartbeat while running the stadium steps. Clare challenges Steve to a race after he belittles her new sports car. A cop pulls them over, and they must attend traffic school. A fellow student, impressed by their bickering, asks Steve and Clare t",https://image.tmdb.org/t/p/original//wv8tEaaVpLf4TTlu19WzGNrt1r0.jpg
Nancy's Choice,6,19,1996-01-31,10.0,"Susan is nominated for a college journalism award for her story about a girl's decision to have an abortion. Brandon does not understand why Jonathan insists on flying in for the awards ceremony. Susan explains that she and Jonathan broke up over a difference of opinion regarding the story; this further confuses Brandon. Susan wins the award and bursts into tears during her speech. She confesses to Brandon that the story was about herself; devastated by her sister's death, she had a drunken encounter with Jonathan and wound up pregnant. Jonathan proposed to her, and was crushed when she chose to terminate the pregnancy. Jonathan offers Susan his forgiveness, although she still has doubts about her decision. Valerie arranges a meeting between Colin and a knowledgeable art buyer in the hopes of encouraging Colin to get clean and focus on his career. Unfortunately, the man purchases two works that Colin had painted while high. Kelly swears off cocaine, but cannot resist temptation for lon",https://image.tmdb.org/t/p/original//v8U0i7vZkHLaHgj2SKQSkKIfJuk.jpg
Flying,6,20,1996-02-07,9.0,"Valerie's really annoying friend Ginger returns to town. She forces Val to put her up at a hotel and pay for room service and new dresses. Ginger blackmails Valerie, threatening to tell everyone about the previous fall's scam unless Val coughs up $50,000. She later changes her mind and demands a night with David instead. Clare and Donna confront Kelly after finding drugs in the apartment. She seeks refuge with Colin, and doesn't show for the girls' rummage sale. Brandon takes Kelly for a ride and refuses to drive her home until she has come to her senses. She steals his car when he pulls over to call Susan, then returns to the apartment and tells Donna that she is moving out. Brandon, Steve and Joe accept Jonathan's invitation to go flying in biplanes. Joe faints after his flight, prompting more concern about his heart. He agrees to another appointment with Dr. Martin.",https://image.tmdb.org/t/p/original//biKYdndIHqMqCkX9c5vmGHDX773.jpg
Bleeding Hearts,6,21,1996-02-14,10.0,"Kelly and Colin argue because she used their entire coke stash. She goes to see his dealer alone, and a second man nearly rapes her. She hits him in the head with a wine bottle and drives away. Kelly calls Brandon for help; he finds her trembling in her car. Brandon and Jackie get Kelly into a rehab center. She confesses her love for Brandon, who does not reply. David writes Val a special poem for Valentine's Day. Valerie tries to pacifiy Ginger (and help out Susan) by setting her up with Jonathan. They pretend to be a couple in the hopes of making Susan jealous. When Jonathan tries to trick Susan into entering a dance contest with him, she punches him in the face. Valerie tells David about her scam with Ginger, and asks him to save her from humiliation by spending the night with Ginger. Nothing happens between David and Ginger, but he dumps Valerie because he feels betrayed by her request. The football coach kicks Joe off the team and recruits a new quarterback. Donna stops Joe from q",https://image.tmdb.org/t/p/original//fY3iSOhfhY7wu9Lv3YRyIEhwZ13.jpg
All This and Mary Too,6,22,1996-02-21,7.0,"Colin visits Kelly and announces that he has kicked his cocaine habit. Kelly maintains that they are bad for one another and breaks up with him. Kelly gets a roommate, a troubled teenage runaway named Tara. Valerie has the house to herself as Steve and Brandon leave for a ski weekend with Clare, Susan and David. She hooks up with Colin. Susan challenges Brandon to a ski race, and they leave the designated runs. Susan injures her ankle on a jump, and the duo must fight the elements while awaiting a rescue team. Depressed by his split with Valerie, David mopes around the lodge. Everyone keeps introducing him to blonde girls named Mary. Donna hears news of a medical breakthrough that could save Joe's career. She must convince Joe to pursue the treatment (he doesn't want to get his hopes up), and goad her father into using his connections to Joe's benefit.",https://image.tmdb.org/t/p/original//f2cspALk2Us0bUTSi7X1QKrEG8o.jpg
Leap of Faith,6,23,1996-02-28,9.0,"Brandon and Susan spend the weekend at her parents' house. Susan's mother asks Brandon very intrusive questions during dinner. Mrs. Keats expects Brandon to sleep in the guest room, but Susan sneaks him into her room during the night. Mrs. Keats catches Brandon in bed with Susan the next morning. She expresses her disappointment, and Susan shares her frustration at the expectations placed upon her since her sister's death. Kelly befriends Tara. Colin and Valerie's new relationship upsets David and Kelly. Val orders David to mind his own business. Colin's old dealer, Danny, tempts him with some cocaine. Colin agrees to drive him to a drug house in Torrance. When the police arrive, a panicked Colin drives off and leads them on a high-speed chase. The gang watches the chase unfold on television, and is shocked to see that Colin is the driver. Joe's older brother Hank comes to town and tries to discourage him from undergoing surgery. Donna suspects that Hank is jealous of Joe's potential t",https://image.tmdb.org/t/p/original//ncR964vKeLHccLivX6RPwZoyIf.jpg
"Coming Out, Getting Out, Going Out",6,24,1996-03-13,10.0,"Valerie puts the club up as collateral to bail Colin out of jail. She also offers to spring for a high-priced attorney, as the public defender wants to plea bargain. Colin is terrified by the thought of spending time in prison. Kelly comes home from rehab and receives a surprise call from Colin. Donna is put off by the frequent phone calls from a lonely Tara. Tara runs away from the center. Kelly and Donna pick her up and give her refuge for the night. A medical student asks Kelly on a date. Clare and Susan resolve to reunite Nat and Joan, who have broken up because their relationship lacks its past magic. Clare, Susan, Brandon and Steve organize a romantic evening for the couple. They take them to many of the places that were special to them in 1971 and help them recapture their passion. Joe undergoes successful surgery and plans to return to football.

Music: """"Time of the Season"""" by the Zombies (#3, 1969); """"At Last"""" by Etta James",https://image.tmdb.org/t/p/original//gErZjEAnbXBwkGdOGJ53jrDp2bf.jpg
Smashed,6,25,1996-03-20,10.0,"Rush dumps Ryan and Austin off on Steve on the same day that he is hosting a fraternity party. He doesn't keep a close eye on the boys, and they drink everything in sight. Ryan becomes very ill and Greg (Kelly's med student date) diagnoses him with alcohol poisoning. He has to be rushed to the hospital, and his father blames Steve. Kelly invites Tara to stay with her after she finishes her stint in rehab. Tara becomes enraged when Kelly dates Greg, as she wants all of Kelly's attention. Colin's lawyer recommends that he plead guilty in exchange for a short sentence at a minimum security facility. Valerie persuades him to take the deal. Val goads Colin into attending Steve's party, but bristles when he shares a tender moment with Kelly. Donna and David videotape the party for a late-night campus program called C.U. Later.",https://image.tmdb.org/t/p/original//2syxjtLwGsrpkjFp0CI7IvBTaWG.jpg
Flirting With Disaster,6,26,1996-04-03,9.0,"Brandon, Steve and Joe go on a camping trip with Susan, Clare and Donna. The girls become jealous when the guys repeatedly ignore them to help some damsels in distress. Clare, Donna and Susan offer shelter to the tentless girls, and make their boyfriends sleep in the car. Kelly feels guilty about leaving Tara alone to go bowling with Greg; she convinces David to make it a double date. Tara sabotages Kelly's relationship with Greg. Valerie tries to arrange a truce between Colin and his estranged father, an artist who lost his sight in Vietnam. Colin is afraid to reveal his legal problems, but Mr. Robbins already knows the truth and has come to offer his support.",https://image.tmdb.org/t/p/original//ugDROvOhMd0FZtaCquN3jOeU7si.jpg
Strike the Match,6,27,1996-04-10,0.0,"Kelly tries to coax Tara into moving out, as the hospital has found her a place to live. Tara retrieves some belongings, including her photography equipment, from a friend. Kelly does not realize that Tara has a gun in her suitcase. After Kelly speaks of her hatred for Valerie, Tara sneaks out during the night and keys """"Die Val"""" on the side of Valerie's car. Val believes that Kelly is responsible, while Colin gets into a fight with David (who had earlier given him a lot of attitude). Tara freaks everyone out by copying Kelly's hair style and color. Donna and David film a music video for an up and coming band. Donna must appear in the video after the female star fails to show. Joe is unhappy to see her dancing around in a revealing outfit. The Boston Globe offers Brandon a summer internship and chance at a great post-college job. He rejects the offer because he and Susan had already planned a cross-country trip for the summer.",https://image.tmdb.org/t/p/original//p0f1bOJBnLQNQRnyV9J4VJvIEZR.jpg
The Big Hurt,6,28,1996-05-01,0.0,"Tara makes a pass at Brandon and purposely overfeeds Kelly's fish. Kelly orders her to move out. Kelly snoops in Tara's suitcase and discovers that she had lied when she claimed not to know her parents' whereabouts. Kelly enrages Tara by calling her parents. Tara holds Kelly at gunpoint and forces her to go for a drive up the coast. Kelly tries to escape when they pull over, but Tara knocks her out. She ties up Kelly, hooks a hose up to the car, and plans to kill Kelly and herself through carbon monoxide poisoning. Kelly tricks Tara into untying her, then gets the gun away. Tara is admitted to a psychiatric hospital, and her mother thanks Kelly for saving her life. The judge nixes the deal between Colin's lawyer and the district attorney. Citing the fact that he endangered lives with his hazardous driving, he sentences Colin to two years in prison. Carl, a prince and longtime friend of Clare's family, comes for a visit. He makes friends with Steve and tries to prove that he is not the",https://image.tmdb.org/t/p/original//AjOyf0HxnmhKce1jyIF3owHpTB5.jpg
Ticket to Ride,6,29,1996-05-08,10.0,"Colin tries to remain strong as he prepares to turn himself in and begin his prison term. He panics after catching a glimpse of some fellow inmates, and drives away in Val's car. Valerie must track him down or forfeit her $100,000 bond, which she acquired by cashing in the club's equity. Colin stops by Kelly's apartment in search of help, but she turns him away. When Valerie asks Kelly for information about Colin, Kelly acts really bitchy and denies having seen him. Brandon and Susan lose a five-thousand-dollar lottery ticket, leading to a major argument. They find the ticket, but give the money to charity because they feel guilty about fighting over money. Joe expresses disappointment at his slow progress as he returns to training. He realizes that he has lost his passion for football. Clare feels uneasy about Steve's friendship with Carl. Steve falls down the stairs and suffers a broken jaw.

Music: """"Be My Lover"""" by La Bouche (#6",https://image.tmdb.org/t/p/original//mWXHYQJHdGP0Mlvy1agwijlQ37.jpg
